material,trial_id,items_used
Apple,976,8
Apple,977,9
Apple,978,10
Apple,979,8
Apple,980,9
Apple,981,12
Apple,982,9
Apple,983,15
Apple,984,7
Apple,985,10
Apple,986,11
Apple,987,10
Apple,988,8
Apple,989,12
Apple,990,11
Apple,991,9
Apple,992,11
Apple,993,9
Apple,994,9
Apple,995,14
Apple,996,8
Apple,997,8
Apple,998,13
Apple,999,7
Apple,1000,8
Apple,1001,11
Apple,1002,8
Apple,1003,11
Apple,1004,13
Apple,1005,9
Apple,1006,8
Apple,1007,10
Apple,1008,10
Apple,1009,10
Apple,1010,11
Apple,1011,12
Apple,1012,16
Apple,1013,11
Apple,1014,10
Apple,1015,7
Apple,1016,12
Apple,1017,8
Apple,1018,8
Apple,1019,12
Apple,1020,8
Apple,1021,9
Apple,1022,15
Apple,1023,11
Apple,1024,8
Apple,1025,17
Apple,1026,15
Apple,1027,9
Apple,1028,8
Apple,1029,9
Apple,1030,9
Apple,1031,11
Apple,1032,11
Apple,1033,10
Apple,1034,13
Apple,1035,9
Apple,1036,12
Apple,1037,11
Apple,1038,9
Apple,1039,9
Apple,1040,8
Apple,1041,13
Apple,1042,13
Apple,1043,10
Apple,1044,9
Apple,1045,11
Apple,1046,8
Apple,1047,11
Apple,1048,8
Apple,1049,12
Apple,1050,9
Apple,1051,10
Apple,1052,12
Apple,1053,12
Apple,1054,9
Apple,1055,10
Apple,1056,9
Apple,1057,8
Apple,1058,17
Apple,1059,8
Apple,1060,11
Apple,1061,11
Apple,1062,12
Apple,1063,14
Apple,1064,8
Apple,1065,11
Apple,1066,10
Apple,1067,11
Apple,1068,7
Apple,1069,10
Apple,1070,10
Apple,1071,7
Apple,1072,11
Apple,1073,7
Apple,1074,9
Apple,1075,13
Apple,1076,7
Apple,1077,8
Apple,1078,11
Apple,1079,14
Apple,1080,11
Apple,1081,12
Apple,1082,9
Apple,1083,10
Apple,1084,9
Apple,1085,14
Apple,1086,7
Apple,1087,12
Apple,1088,9
Apple,1089,15
Apple,1090,8
Apple,1091,10
Apple,1092,12
Apple,1093,10
Apple,1094,9
Apple,1095,11
Apple,1096,10
Apple,1097,10
Apple,1098,12
Apple,1099,12
Apple,1100,14
Apple,1101,11
Apple,1102,8
Apple,1103,9
Apple,1104,8
Apple,1105,9
Apple,1106,7
Apple,1107,9
Apple,1108,10
Apple,1109,15
Apple,1110,11
Apple,1111,10
Apple,1112,12
Apple,1113,10
Apple,1114,13
Apple,1115,8
Apple,1116,10
Apple,1117,12
Apple,1118,7
Apple,1119,10
Apple,1120,11
Apple,1121,10
Apple,1122,9
Apple,1123,9
Apple,1124,7
Apple,1125,18
Apple,1126,14
Apple,1127,13
Apple,1128,9
Apple,1129,8
Apple,1130,10
Apple,1131,17
Apple,1132,8
Apple,1133,8
Apple,1134,9
Apple,1135,10
Apple,1136,9
Apple,1137,9
Apple,1138,11
Apple,1139,12
Apple,1140,14
Apple,1141,9
Apple,1142,9
Apple,1143,9
Apple,1144,10
Apple,1145,14
Apple,1146,13
Apple,1147,14
Apple,1148,7
Apple,1149,12
Apple,1150,9
Apple,1151,10
Apple,1152,8
Apple,1153,8
Apple,1154,7
Apple,1155,10
Apple,1156,12
Apple,1157,10
Apple,1158,8
Apple,1159,13
Apple,1160,9
Apple,1161,10
Apple,1162,12
Apple,1163,9
Apple,1164,12
Apple,1165,10
Apple,1166,13
Apple,1167,12
Apple,1168,11
Apple,1169,9
Apple,1170,12
Apple,1171,12
Apple,1172,11
Apple,1173,12
Apple,1174,9
Apple,1175,10
Apple,1176,12
Apple,1177,9
Apple,1178,10
Apple,1179,8
Apple,1180,20
Apple,1181,8
Apple,1182,9
Apple,1183,9
Apple,1184,11
Apple,1185,8
Apple,1186,11
Apple,1187,10
Apple,1188,9
Apple,1189,10
Apple,1190,9
Apple,1191,12
Apple,1192,8
Apple,1193,7
Apple,1194,8
Apple,1195,7
Apple,1196,9
Apple,1197,12
Apple,1198,9
Apple,1199,10
Apple,1200,9
Apple,1201,11
Apple,1202,9
Apple,1203,12
Apple,1204,20
Apple,1205,9
Apple,1206,9
Apple,1207,7
Apple,1208,10
Apple,1209,13
Apple,1210,11
Apple,1211,10
Apple,1212,10
Apple,1213,10
Apple,1214,9
Apple,1215,12
Apple,1216,14
Apple,1217,11
Apple,1218,11
Apple,1219,9
Apple,1220,8
Apple,1221,11
Apple,1222,10
Apple,1223,11
Apple,1224,8
Apple,1225,8
Apple,1226,10
Apple,1227,8
Apple,1228,12
Apple,1229,8
Apple,1230,9
Apple,1231,11
Apple,1232,9
Apple,1233,10
Apple,1234,8
Apple,1235,8
Apple,1236,10
Apple,1237,7
Apple,1238,15
Apple,1239,14
Apple,1240,9
Apple,1241,9
Apple,1242,12
Apple,1243,11
Apple,1244,9
Apple,1245,15
Apple,1246,10
Apple,1247,8
Apple,1248,11
Apple,1249,8
Apple,1250,8
Apple,1251,10
Apple,1252,14
Apple,1253,12
Apple,1254,9
Apple,1255,9
Apple,1256,11
Apple,1257,14
Apple,1258,13
Apple,1259,11
Apple,1260,8
Apple,1261,9
Apple,1262,11
Apple,1263,11
Apple,1264,9
Apple,1265,8
Apple,1266,8
Apple,1267,8
Apple,1268,8
Apple,1269,8
Apple,1270,9
Apple,1271,15
Apple,1272,9
Apple,1273,8
Apple,1274,8
Apple,1275,9
Apple,1276,11
Apple,1277,11
Apple,1278,8
Apple,1279,7
Apple,1280,7
Apple,1281,8
Apple,1282,12
Apple,1283,10
Apple,1284,8
Apple,1285,9
Apple,1286,10
Apple,1287,11
Apple,1288,8
Apple,1289,11
Apple,1290,8
Apple,1291,8
Apple,1292,14
Apple,1293,9
Apple,1294,7
Apple,1295,10
Apple,1296,10
Apple,1297,9
Apple,1298,17
Apple,1299,13
Apple,1300,15
Apple,1301,9
Apple,1302,9
Apple,1303,13
Apple,1304,12
Apple,1305,14
Apple,1306,12
Apple,1307,14
Apple,1308,13
Apple,1309,13
Apple,1310,9
Apple,1311,11
Apple,1312,12
Apple,1313,8
Apple,1314,8
Apple,1315,10
Apple,1316,16
Apple,1317,12
Apple,1318,11
Apple,1319,8
Apple,1320,10
Apple,1321,8
Apple,1322,7
Apple,1323,7
Apple,1324,8
Apple,1325,11
Apple,1326,10
Apple,1327,10
Apple,1328,12
Apple,1329,10
Apple,1330,7
Apple,1331,14
Apple,1332,7
Apple,1333,9
Apple,1334,11
Apple,1335,7
Apple,1336,12
Apple,1337,14
Apple,1338,10
Apple,1339,10
Apple,1340,9
Apple,1341,8
Apple,1342,9
Apple,1343,10
Apple,1344,14
Apple,1345,8
Apple,1346,10
Apple,1347,10
Apple,1348,8
Apple,1349,10
Apple,1350,11
Apple,1351,10
Apple,1352,10
Apple,1353,18
Apple,1354,10
Apple,1355,12
Apple,1356,12
Apple,1357,14
Apple,1358,9
Apple,1359,12
Apple,1360,9
Apple,1361,9
Apple,1362,11
Apple,1363,8
Apple,1364,12
Apple,1365,10
Apple,1366,12
Apple,1367,15
Apple,1368,11
Apple,1369,10
Apple,1370,13
Apple,1371,12
Apple,1372,9
Apple,1373,7
Apple,1374,11
Apple,1375,7
Apple,1376,9
Apple,1377,8
Apple,1378,11
Apple,1379,11
Apple,1380,8
Apple,1381,9
Apple,1382,10
Apple,1383,17
Apple,1384,7
Apple,1385,11
Apple,1386,9
Apple,1387,9
Apple,1388,8
Apple,1389,8
Apple,1390,10
Apple,1391,10
Apple,1392,13
Apple,1393,13
Apple,1394,12
Apple,1395,8
Apple,1396,13
Apple,1397,9
Apple,1398,7
Apple,1399,11
Apple,1400,11
Apple,1401,10
Apple,1402,11
Apple,1403,9
Apple,1404,10
Apple,1405,10
Apple,1406,9
Apple,1407,12
Apple,1408,10
Apple,1409,12
Apple,1410,11
